epoch,r1_rec,r1_ndcg,r2_rec,r2_ndcg,r3_rec,r3_ndcg,AUC
0,0.0,0.0,0.125,0.34997422609920803,0.2916666666666667,0.4457492714433632,0.5447845804988662
1,0.0,0.0,0.125,0.34539734548316653,0.2916666666666667,0.4404966608638476,0.5459183673469388
2,0.0,0.0,0.08333333333333333,0.30032713885777473,0.2916666666666667,0.4322007206567446,0.5456349206349207
3,0.0,0.0,0.08333333333333333,0.29138065504913135,0.2916666666666667,0.424320150229973,0.5456349206349207
4,0.0,0.0,0.041666666666666664,0.23981246656813146,0.2916666666666667,0.4183329514535708,0.5445011337868481
5,0.0,0.0,0.041666666666666664,0.23981246656813146,0.2916666666666667,0.4129300781800282,0.54421768707483
6,0.0,0.0,0.041666666666666664,0.23981246656813146,0.25,0.39191833880098004,0.5445011337868481
7,0.0,0.0,0.041666666666666664,0.23981246656813146,0.25,0.38947563867309365,0.5459183673469388
8,0.0,0.0,0.041666666666666664,0.23981246656813146,0.20833333333333334,0.36684033879660555,0.5447845804988662
9,0.0,0.0,0.041666666666666664,0.23981246656813146,0.20833333333333334,0.3631970127499115,0.542233560090703
10,0.0,0.0,0.041666666666666664,0.23981246656813146,0.16666666666666666,0.33812756381971426,0.5396825396825397
11,0.0,0.0,0.041666666666666664,0.23981246656813146,0.125,0.31336195425567376,0.5393990929705215
12,0.0,0.0,0.041666666666666664,0.23981246656813146,0.125,0.31189065816517747,0.5402494331065759
13,0.0,0.0,0.041666666666666664,0.23981246656813146,0.125,0.31015058932593415,0.5374149659863945
14,0.0,0.0,0.041666666666666664,0.23981246656813146,0.125,0.31015058932593415,0.5365646258503403
15,0.0,0.0,0.041666666666666664,0.23981246656813146,0.08333333333333333,0.2845348119804074,0.5340136054421769
16,0.0,0.0,0.041666666666666664,0.23981246656813146,0.08333333333333333,0.2807703750274367,0.5325963718820862
17,0.0,0.0,0.041666666666666664,0.23540891336663824,0.08333333333333333,0.27807034874374775,0.5351473922902494
18,0.0,0.0,0.041666666666666664,0.23540891336663824,0.08333333333333333,0.27807034874374775,0.5348639455782314
19,0.0,0.0,0.041666666666666664,0.23540891336663824,0.08333333333333333,0.2763743756690167,0.5359977324263039
20,0.0,0.0,0.0,0.0,0.08333333333333333,0.2723135473741687,0.536281179138322
21,0.0,0.0,0.0,0.0,0.08333333333333333,0.2723135473741687,0.5374149659863945
22,0.0,0.0,0.0,0.0,0.08333333333333333,0.27081983761084133,0.538265306122449
23,0.0,0.0,0.0,0.0,0.08333333333333333,0.27081983761084133,0.5374149659863945
24,0.0,0.0,0.0,0.0,0.08333333333333333,0.27081983761084133,0.5382653061224489
25,0.0,0.0,0.0,0.0,0.08333333333333333,0.27081983761084133,0.5382653061224489
26,0.0,0.0,0.0,0.0,0.08333333333333333,0.26808330932877117,0.5348639455782312
27,0.0,0.0,0.0,0.0,0.08333333333333333,0.26808330932877117,0.5317460317460317
28,0.0,0.0,0.0,0.0,0.08333333333333333,0.26808330932877117,0.5311791383219955
29,0.0,0.0,0.0,0.0,0.08333333333333333,0.26808330932877117,0.532312925170068
30,0.0,0.0,0.0,0.0,0.08333333333333333,0.26682526288904246,0.5325963718820862
31,0.0,0.0,0.041666666666666664,0.23540891336663824,0.08333333333333333,0.2692966754057695,0.530045351473923
32,0.0,0.0,0.041666666666666664,0.23981246656813146,0.08333333333333333,0.2719967016894584,0.5269274376417235
33,0.0,0.0,0.041666666666666664,0.23981246656813146,0.08333333333333333,0.2719967016894584,0.5238095238095238
34,0.0,0.0,0.041666666666666664,0.23981246656813146,0.08333333333333333,0.2719967016894584,0.5212585034013606
35,0.0,0.0,0.041666666666666664,0.23981246656813146,0.08333333333333333,0.2719967016894584,0.5184240362811792
36,0.0,0.0,0.041666666666666664,0.23540891336663824,0.08333333333333333,0.26810351518280773,0.5150226757369616
37,0.0,0.0,0.041666666666666664,0.23540891336663824,0.08333333333333333,0.26810351518280773,0.5144557823129252
38,0.0,0.0,0.041666666666666664,0.23540891336663824,0.08333333333333333,0.2692966754057695,0.5124716553287982
39,0.0,0.0,0.041666666666666664,0.23540891336663824,0.08333333333333333,0.26810351518280773,0.5102040816326531
40,0.0,0.0,0.041666666666666664,0.23981246656813146,0.08333333333333333,0.2708035414664966,0.5053854875283447
41,0.0,0.0,0.041666666666666664,0.24465054211822604,0.08333333333333333,0.2762212005711149,0.4965986394557823
42,0.0,0.0,0.041666666666666664,0.24465054211822604,0.08333333333333333,0.2762212005711149,0.48894557823129253
43,0.0,0.0,0.041666666666666664,0.2559580248098155,0.08333333333333333,0.2795693829310216,0.4829931972789116
44,0.0,0.0,0.041666666666666664,0.2559580248098155,0.08333333333333333,0.2784901599751677,0.4787414965986395
45,0.0,0.0,0.041666666666666664,0.27894294565112987,0.08333333333333333,0.29057166104619275,0.4773242630385488
46,0.0,0.0,0.041666666666666664,0.2890648263178879,0.08333333333333333,0.2977604997929994,0.47647392290249435
47,0.041666666666666664,0.3010299956639812,0.041666666666666664,0.3010299956639812,0.08333333333333333,0.3050969097885198,0.47335600907029474
48,0.041666666666666664,0.3010299956639812,0.041666666666666664,0.3010299956639812,0.08333333333333333,0.3050969097885198,0.47165532879818595
49,0.041666666666666664,0.3010299956639812,0.041666666666666664,0.3010299956639812,0.08333333333333333,0.3050969097885198,0.47052154195011336
50,0.041666666666666664,0.3010299956639812,0.041666666666666664,0.3010299956639812,0.08333333333333333,0.30720513533265986,0.46967120181405897
51,0.0,0.0,0.041666666666666664,0.27894294565112987,0.08333333333333333,0.2947962848678046,0.46683673469387765
52,0.0,0.0,0.041666666666666664,0.2890648263178879,0.08333333333333333,0.3034536942468248,0.46712018140589573
53,0.0,0.0,0.041666666666666664,0.2890648263178879,0.08333333333333333,0.30478285340363576,0.46456916099773243
54,0.0,0.0,0.041666666666666664,0.2890648263178879,0.08333333333333333,0.30478285340363576,0.4614512471655329
55,0.0,0.0,0.041666666666666664,0.2890648263178879,0.08333333333333333,0.30619022252889494,0.45691609977324266
56,0.0,0.0,0.041666666666666664,0.2890648263178879,0.08333333333333333,0.30768393229222224,0.4543650793650794
57,0.0,0.0,0.041666666666666664,0.27894294565112987,0.08333333333333333,0.3014777295758926,0.4509637188208617
58,0.0,0.0,0.041666666666666664,0.27023815442731974,0.08333333333333333,0.296140411273404,0.44841269841269843
59,0.0,0.0,0.041666666666666664,0.27023815442731974,0.08333333333333333,0.29464670151007677,0.44416099773242634
60,0.0,0.0,0.041666666666666664,0.2559580248098155,0.08333333333333333,0.28589088012277714,0.43934240362811794
61,0.0,0.0,0.041666666666666664,0.2559580248098155,0.08333333333333333,0.28589088012277714,0.4379251700680272
62,0.0,0.0,0.041666666666666664,0.2559580248098155,0.08333333333333333,0.28589088012277714,0.4379251700680272
63,0.0,0.0,0.041666666666666664,0.25,0.08333333333333333,0.28223773393621177,0.439625850340136
64,0.0,0.0,0.041666666666666664,0.23981246656813146,0.08333333333333333,0.27599127641125737,0.44274376417233563
65,0.0,0.0,0.041666666666666664,0.23540891336663824,0.08333333333333333,0.27329125012756844,0.4435941043083901
66,0.0,0.0,0.041666666666666664,0.23540891336663824,0.08333333333333333,0.27188388100230926,0.4469954648526077
67,0.0,0.0,0.041666666666666664,0.23540891336663824,0.08333333333333333,0.27188388100230926,0.4501133786848073
68,0.0,0.0,0.041666666666666664,0.23540891336663824,0.08333333333333333,0.27188388100230926,0.45294784580498865
69,0.0,0.0,0.0,0.0,0.08333333333333333,0.2694124684855822,0.4563492063492064
70,0.0,0.0,0.0,0.0,0.08333333333333333,0.2671389404843385,0.4591836734693877
71,0.0,0.0,0.0,0.0,0.08333333333333333,0.2650380379335853,0.46003401360544216
72,0.0,0.0,0.0,0.0,0.08333333333333333,0.263088784905912,0.4625850340136054
73,0.0,0.0,0.0,0.0,0.08333333333333333,0.261759625749101,0.4645691609977325
74,0.0,0.0,0.0,0.0,0.08333333333333333,0.2586863953840748,0.4668367346938776
75,0.0,0.0,0.0,0.0,0.08333333333333333,0.2586863953840748,0.46853741496598644
76,0.0,0.0,0.0,0.0,0.08333333333333333,0.257493235161113,0.47023809523809523
77,0.0,0.0,0.0,0.0,0.08333333333333333,0.257493235161113,0.47193877551020413
78,0.0,0.0,0.0,0.0,0.08333333333333333,0.2557972620863819,0.47307256235827666
79,0.0,0.0,0.0,0.0,0.08333333333333333,0.254207846308261,0.47505668934240364
80,0.0,0.0,0.0,0.0,0.08333333333333333,0.254207846308261,0.47505668934240364
81,0.0,0.0,0.0,0.0,0.08333333333333333,0.2527141365449337,0.47647392290249435
82,0.0,0.0,0.0,0.0,0.08333333333333333,0.2527141365449337,0.4790249433106576
83,0.0,0.0,0.0,0.0,0.08333333333333333,0.2501730051726797,0.4824263038548753
84,0.0,0.0,0.0,0.0,0.08333333333333333,0.2477646230600148,0.4855442176870748
85,0.0,0.0,0.0,0.0,0.08333333333333333,0.24650657662028605,0.4900793650793651
86,0.0,0.0,0.0,0.0,0.08333333333333333,0.24417965415032944,0.4923469387755102
87,0.0,0.0,0.0,0.0,0.08333333333333333,0.2431506515620433,0.4948979591836735
88,0.0,0.0,0.0,0.0,0.08333333333333333,0.24014907198188587,0.4954648526077098
89,0.0,0.0,0.0,0.0,0.041666666666666664,0.19342640361727081,0.49574829931972797
90,0.0,0.0,0.0,0.0,0.0,0.0,0.49489795918367346
91,0.0,0.0,0.0,0.0,0.041666666666666664,0.20184908658209985,0.49603174603174605
92,0.0,0.0,0.0,0.0,0.08333333333333333,0.24575298444125165,0.498015873015873
93,0.0,0.0,0.0,0.0,0.08333333333333333,0.2499776082628635,0.49999999999999994
94,0.0,0.0,0.0,0.0,0.08333333333333333,0.24758579957613994,0.501984126984127
95,0.0,0.0,0.0,0.0,0.08333333333333333,0.24708214359806263,0.5025510204081632
96,0.0,0.0,0.0,0.0,0.08333333333333333,0.24575298444125165,0.5014172335600907
97,0.0,0.0,0.0,0.0,0.08333333333333333,0.2444949380015229,0.4999999999999999
98,0.0,0.0,0.0,0.0,0.08333333333333333,0.2435552174076964,0.4994331065759637
99,0.0,0.0,0.0,0.0,0.041666666666666664,0.2103099178571525,0.5002834467120181
